,exact_match,exact_match_std,f1,f1_std
0_scitail_text_origin_.?,40.7,7.4,54.9,6.6
0_scitail_text_mnli_text,66.4,0.4,70.4,0.4
0_scitail_text_qnli_text,46.2,7.9,57.7,13.1
0_scitail_text_mnli_text_qnli_text,67.1,0.7,71.5,0.8
0_snli_text_origin_.?,51.6,0.6,46.5,1.5
0_snli_text_mnli_text,79.8,0.2,79.5,0.3
0_snli_text_qnli_text,50.8,1.8,47.1,0.3
0_snli_text_mnli_text_qnli_text,79.3,1.4,79.2,1.4
5_scitail_text_origin_.?,60.0,0.8,74.4,1.0
5_scitail_text_mnli_text,76.0,2.9,81.6,3.0
5_scitail_text_qnli_text,63.1,2.0,76.1,0.8
5_scitail_text_mnli_text_qnli_text,76.8,2.9,82.5,2.8
5_snli_text_origin_.?,44.0,3.8,36.8,5.9
5_snli_text_mnli_text,79.8,0.4,79.3,0.5
5_snli_text_qnli_text,49.2,1.0,45.9,1.5
5_snli_text_mnli_text_qnli_text,80.2,0.5,79.8,0.6
50_scitail_text_origin_.?,61.3,1.4,75.6,0.5
50_scitail_text_mnli_text,83.7,1.1,87.3,0.7
50_scitail_text_qnli_text,68.5,1.3,77.8,1.2
50_scitail_text_mnli_text_qnli_text,84.5,1.1,87.8,0.8
50_snli_text_origin_.?,50.7,0.6,47.3,1.5
50_snli_text_mnli_text,80.9,0.4,80.5,0.5
50_snli_text_qnli_text,51.8,0.6,48.5,1.5
50_snli_text_mnli_text_qnli_text,80.5,0.3,80.2,0.4
100_scitail_text_origin_.?,61.8,1.8,75.6,0.5
100_scitail_text_mnli_text,84.7,1.1,87.8,0.9
100_scitail_text_qnli_text,68.7,1.0,77.7,1.3
100_scitail_text_mnli_text_qnli_text,85.0,1.2,88.1,0.9
100_snli_text_origin_.?,50.3,0.6,47.6,1.9
100_snli_text_mnli_text,81.1,0.4,80.8,0.4
100_snli_text_qnli_text,51.9,0.6,49.1,0.9
100_snli_text_mnli_text_qnli_text,80.6,0.2,80.3,0.3
250_scitail_text_origin_.?,61.0,0.8,75.5,0.2
250_scitail_text_mnli_text,86.2,0.6,89.0,0.3
250_scitail_text_qnli_text,68.5,1.4,78.0,0.9
250_scitail_text_mnli_text_qnli_text,86.5,0.6,89.3,0.5
250_snli_text_origin_.?,50.4,0.7,47.2,1.1
250_snli_text_mnli_text,82.0,0.3,81.8,0.3
250_snli_text_qnli_text,51.9,0.6,49.0,1.3
250_snli_text_mnli_text_qnli_text,81.5,0.4,81.2,0.4
500_scitail_text_origin_.?,62.5,2.1,75.9,0.7
500_scitail_text_mnli_text,88.7,0.6,90.8,0.4
500_scitail_text_qnli_text,69.0,1.5,78.5,1.0
500_scitail_text_mnli_text_qnli_text,88.1,0.7,90.4,0.5
500_snli_text_origin_.?,50.8,1.0,48.6,1.1
500_snli_text_mnli_text,82.2,0.4,82.0,0.4
500_snli_text_qnli_text,52.2,0.9,49.6,1.6
500_snli_text_mnli_text_qnli_text,81.9,0.3,81.6,0.3
750_scitail_text_origin_.?,63.5,3.1,76.5,1.3
750_scitail_text_mnli_text,88.8,0.4,91.0,0.3
750_scitail_text_qnli_text,69.7,1.0,78.5,1.2
750_scitail_text_mnli_text_qnli_text,88.3,0.6,90.6,0.5
750_snli_text_origin_.?,51.0,0.7,48.7,1.5
750_snli_text_mnli_text,82.4,0.3,82.2,0.4
750_snli_text_qnli_text,52.5,0.8,50.2,1.5
750_snli_text_mnli_text_qnli_text,81.8,0.6,81.6,0.7
1000_scitail_text_origin_.?,62.3,1.4,76.0,0.6
1000_scitail_text_mnli_text,88.4,0.6,90.6,0.4
1000_scitail_text_qnli_text,69.3,1.6,78.4,1.1
1000_scitail_text_mnli_text_qnli_text,88.0,0.8,90.3,0.6
1000_snli_text_origin_.?,50.9,0.6,49.2,1.0
1000_snli_text_mnli_text,82.9,0.3,82.8,0.3
1000_snli_text_qnli_text,52.4,0.7,50.0,1.2
1000_snli_text_mnli_text_qnli_text,82.4,0.3,82.3,0.3
